Label,cssSelector,tagName,group,relation,extraInfo,returnValue,teacherAppLangEN
cqa_ebook_evolve,.eboook-selected.ng-tns-c606183087-2,div,ebookEvolve,,isInitialization,,cqa-ebook-evolve
contentButton,button[qid='72'],button,eTextToolBar,,,eBookContents.page,
toolsButton,button[qid='73'],button,eTextToolBar,,,eBookTools.page,
closeButton,"button.close-button > em.nemo-close-new[title=""Close""]",button,ebookContents,,,eBook.page,
homeButton,button[qid='71'],button,eTextToolBar,,,dashboard.page,
myNotes,div.notes-title,div,ebookToolsNotes,,,,My Notes
cqaEbookEvolveDropdown,button[qid='ebook-button-1'],button,ebookContent,,,,
cqaTestEbookOnlyAssets,a[qid='ebook-list-item-3'],a,ebookContentDropdown,,,,
notes,div:nth-child(4) div:nth-child(2) button:nth-child(1),button,ebookTools,,,,
pageNumber,button[qid='toc-6'],input,eTextToolBar,,,,
